scheme_code,brief_name,api_scheme_name,api_scheme_code,matches_brief,status,rows,latest_date,oldest_date,error,fetched_at_utc
125497,HDFC Top 100 Direct,SBI Small Cap Fund - Direct Plan - Growth,125497,False,OK,3105,19-06-2026,18-11-2013,,2026-06-22T11:00:57+00:00
119551,SBI Bluechip,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551,False,OK,3250,19-06-2026,02-01-2013,,2026-06-22T11:00:57+00:00
120503,ICICI Bluechip,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503,False,OK,3321,19-06-2026,02-01-2013,,2026-06-22T11:00:57+00:00
118632,Nippon Large Cap,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,118632,True,OK,3312,19-06-2026,02-01-2013,,2026-06-22T11:00:57+00:00
119092,Axis Bluechip,HDFC Money Market Fund - Growth Option - Direct Plan,119092,False,OK,3579,19-06-2026,31-12-2012,,2026-06-22T11:00:57+00:00
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,120841,False,OK,3315,19-06-2026,07-01-2013,,2026-06-22T11:00:57+00:00
