scheme_code,scheme_name,fund_house,scheme_type,scheme_category,category,sub_category,risk_grade,plan_type,option,isin_growth,isin_div_reinvestment
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,Equity Scheme,Small Cap Fund,Very High,Direct,Growth,INF200K01T51,
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate,Direct,IDCW/Dividend,INF209KA12Z1,INF209KA13Z9
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,Equity Scheme,ELSS,High,Direct,Growth,INF846K01EW2,
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,Equity Scheme,Large Cap Fund,High,Direct,Growth,INF204K01XI3,
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,Debt Scheme,Money Market Fund,Low to Moderate,Direct,Growth,INF179KB1HU9,
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Equity Scheme,Mid Cap Fund,Very High,Direct,Growth,INF966L01887,
